ID,data,firma,pojemniki przyjęte E2,pojemniki przyjęte E1,pojemniki oddane E2,pojemniki oddane E1,różnica E2,różnica E1
1,31/12/2023,publimar,432,20,0,0,-432,-20
2,31/12/2024,publimar,154,70,0,0,-154,-70
3,31/12/2024,duda,116,0,0,0,-116,0
4,31/12/2024,indykpol,321,17,0,0,-321,-17
5,31/12/2024,łuków,352,59,0,0,-352,-59
6,01/01/2025,publimar,1140,160,0,0,-1140,-160
7,02/01/2025,publimar,1190,120,0,0,-1190,-120
8,02/01/2025,indykpol,407,21,2,0,-405,-21
9,03/01/2025,publimar,1510,81,0,0,-1510,-81
10,03/01/2025,łuków,90,90,0,0,-90,-90
11,06/01/2025,publimar,1450,250,0,0,-1450,-250
12,07/01/2025,publimar,1390,120,0,0,-1390,-120
13,08/01/2025,publimar,1980,172,0,0,-1980,-172
14,08/01/2025,indykpol,577,106,47,0,-530,-106
15,09/01/2025,publimar,1500,188,0,0,-1500,-188
16,09/01/2025,indykpol,347,0,4,0,-343,0
17,10/01/2025,publimar,1520,148,0,0,-1520,-148
18,10/01/2025,indykpol,50,51,0,0,-50,-51
19,12/01/2025,publimar,1280,120,0,0,-1280,-120
20,13/01/2025,publimar,1100,80,0,0,-1100,-80
21,13/01/2025,indykpol,243,57,43,0,-200,-57
22,13/01/2025,łuków,110,110,0,0,-110,-110
23,14/01/2025,publimar,1550,80,0,0,-1550,-80
24,15/01/2025,publimar,1090,120,0,0,-1090,-120
25,15/01/2025,indykpol,35,43,54,0,-19,0
26,16/01/2025,publimar,1150,120,0,0,-1150,-120
27,17/01/2025,publimar,1440,120,0,0,-1440,-120
28,17/01/2025,indykpol,90,90,0,0,-90,-90
29,17/01/2025,łuków,60,60,0,0,-60,-60
30,19/01/2025,publimar,1310,200,0,0,-1310,-200
31,19/01/2025,łuków,20,20,0,0,-20,-20
32,20/01/2025,publimar,640,80,0,0,-640,-80
33,20/01/2025,indykpol,42,30,0,0,-42,-30
34,20/01/2025,łuków,80,80,0,0,-80,-80
35,21/01/2025,publimar,1410,80,0,0,-1410,-80
36,22/01/2025,publimar,1160,108,0,0,-1160,-108
37,22/01/2025,indykpol,325,10,5,0,-320,-10
38,23/01/2025,publimar,1020,120,0,0,-1020,-120
39,24/01/2025,publimar,1050,80,0,0,-1050,-80
40,24/01/2025,indykpol,18,16,9,0,-9,-16
41,24/01/2025,łuków,110,34,0,0,-110,-34
42,26/01/2025,publimar,1140,81,0,0,-1140,-81
43,27/01/2025,publimar,920,68,0,0,-920,-68
44,27/01/2025,indykpol,477,30,4,0,-473,-30
45,28/01/2025,publimar,1070,80,0,0,-1070,-80
46,29/01/2025,publimar,1840,120,0,0,-1840,-120
47,29/01/2025,indykpol,27,10,20,5,0,0,-7,-10
48,29/01/2025,łuków,190,190,0,0,-190,-190
49,30/01/2025,publimar,1490,210,0,0,-1490,-210
50,31/01/2025,publimar,830,110,0,0,-830,-110
51,31/01/2025,indykpol,18,124,0,0,-18,-124
52,31/01/2025,łuków,100,100,0,0,-100,-100
53,02/02/2025,publimar,1410,108,0,0,-1410,-108
54,03/02/2025,publimar,1380,120,0,0,-1380,-120
55,03/02/2025,indykpol,110,20,0,0,-110,-20
56,04/02/2025,publimar,950,103,0,0,-950,-103
57,05/02/2025,publimar,1190,130,0,0,-1190,-130
58,05/02/2025,indykpol,13,10,18,0,-5,-10
59,05/02/2025,łuków,120,190,0,0,-120,-190
60,06/02/2025,publimar,1310,137,0,0,-1310,-137
61,07/02/2025,publimar,1120,120,0,0,-1120,-120
62,07/02/2025,indykpol,60,102,0,0,-60,-102
63,07/02/2025,łuków,40,130,0,0,-40,-130
64,09/02/2025,publimar,1540,160,0,0,-1540,-160
65,10/02/2025,publimar,1190,120,0,0,-1190,-120
66,10/02/2025,indykpol,17,230,0,0,-17,-230
67,11/02/2025,publimar,1430,80,0,0,-1430,-80
68,12/02/2025,publimar,1020,80,0,0,-1020,-80
69,12/02/2025,indykpol,166,106,0,0,-166,-106
70,12/02/2025,łuków,30,30,0,0,-30,-30
71,13/02/2025,publimar,1760,120,0,0,-1760,-120
72,14/02/2025,publimar,670,120,0,0,-670,-120
73,14/02/2025,indykpol,52,20,0,0,-52,-20
74,16/02/2025,publimar,960,240,0,0,-960,-240
75,17/02/2025,publimar,830,40,0,0,-830,-40
76,17/02/2025,indykpol,216,154,6,0,-210,-154
77,17/02/2025,łuków,120,120,0,0,-120,-120
78,18/02/2025,publimar,1310,120,0,0,-1310,-120
79,19/02/2025,publimar,810,80,0,0,-810,-80
80,19/02/2025,indykpol,25,20,7,0,-18,-20
81,20/02/2025,publimar,1010,80,0,0,-1010,-80
82,20/02/2025,łuków,50,50,0,0,-50,-50
83,21/02/2025,publimar,1030,160,0,0,-1030,-160
84,21/02/2025,indykpol,80,0,0,0,-80,0
85,23/02/2025,publimar,1220,122,0,0,-1220,-122
86,24/02/2025,publimar,1100,120,0,0,-1100,-120
87,24/02/2025,indykpol,267,200,6,0,-261,-200
88,25/02/2025,publimar,660,80,0,0,-660,-80
89,26/02/2025,publimar,1340,40,0,0,-1340,-40
90,26/02/2025,indykpol,63,63,7,0,-56,-63
91,27/02/2025,publimar,1520,82,0,0,-1520,-82
92,28/02/2025,publimar,630,102,0,0,-630,-102
93,28/02/2025,indykpol,60,250,2,0,-58,-250
94,28/02/2025,łuków,50,20,0,0,-50,-20
95,02/03/2025,publimar,1340,120,0,0,-1340,-120
96,03/03/2025,publimar,1240,94,0,0,-1240,-94
97,04/03/2025,publimar,1130,110,0,0,-1130,-110
98,05/03/2025,publimar,1440,120,0,0,-1440,-120
99,05/03/2025,indykpol,121,110,3,0,-118,-110
100,05/03/2025,łuków,40,40,0,0,-40,-40
101,06/03/2025,publimar,1240,120,0,0,-1240,-120
102,07/03/2025,publimar,520,120,0,0,-520,-120
103,07/03/2025,indykpol,55,109,54,0,-1,-109
104,07/03/2025,łuków,110,110,0,0,-110,-110
105,09/03/2025,publimar,1430,160,0,0,-1430,-160
106,10/03/2025,publimar,850,81,0,0,-850,-81
107,10/03/2025,indykpol,80,143,63,0,-17,-143
108,10/03/2025,łuków,30,60,0,0,-30,-60
109,11/03/2025,publimar,1390,120,0,0,-1390,-120
110,12/03/2025,publimar,1330,80,0,0,-1330,-80
111,12/03/2025,indykpol,254,100,15,0,-239,-100
112,12/03/2025,łuków,110,180,0,0,-110,-180
113,13/03/2025,publimar,1570,109,0,0,-1570,-109
114,14/03/2025,publimar,1050,148,0,0,-1050,-148
115,14/03/2025,indykpol,142,0,158,1,0,0,-16,0
116,14/03/2025,łuków,20,30,0,0,-20,-30
117,16/03/2025,publimar,1300,120,0,0,-1300,-120
118,17/03/2025,publimar,1080,120,0,0,-1080,-120
119,17/03/2025,indykpol,496,60,19,0,-477,-60
120,17/03/2025,łuków,40,40,0,0,-40,-40
121,18/03/2025,publimar,1750,120,0,0,-1750,-120
122,19/03/2025,publimar,1020,80,0,0,-1020,-80
123,19/03/2025,indykpol,176,0,4,0,-172,0
124,20/03/2025,publimar,1490,80,0,0,-1490,-80
125,21/03/2025,publimar,770,120,0,0,-770,-120
126,21/03/2025,indykpol,50,54,0,0,-50,-54
127,21/03/2025,łuków,80,32,0,0,-80,-32
128,23/03/2025,publimar,1310,160,0,0,-1310,-160
129,24/03/2025,publimar,1270,130,0,0,-1270,-130
130,24/03/2025,indykpol,53,24,0,0,-53,-24
131,25/03/2025,publimar,1160,80,0,0,-1160,-80
132,26/03/2025,publimar,1200,80,0,0,-1200,-80
133,26/03/2025,indykpol,311,120,4,0,-307,-120
134,26/03/2025,łuków,320,320,0,0,-320,-320
135,27/03/2025,publimar,1530,120,0,0,-1530,-120
136,28/03/2025,publimar,1440,200,0,0,-1440,-200
137,28/03/2025,łuków,30,100,0,0,-30,-100
138,30/03/2025,publimar,1230,120,0,0,-1230,-120
139,31/03/2025,publimar,1110,111,0,0,-1110,-111
140,31/03/2025,indykpol,50,68,0,0,-50,-68
141,31/03/2025,łuków,140,0,0,0,-140,0
142,01/04/2025,publimar,1830,80,0,0,-1830,-80
143,02/04/2025,publimar,1640,120,0,0,-1640,-120
144,02/04/2025,indykpol,17,20,4,0,-13,-20
145,02/04/2025,łuków,40,40,0,0,-40,-40
146,03/04/2025,publimar,1550,120,0,0,-1550,-120
147,04/04/2025,indykpol,44,60,6,0,-38,-60
148,05/04/2025,publimar,1120,160,0,0,-1120,-160
149,06/04/2025,publimar,1350,160,0,0,-1350,-160
150,07/04/2025,publimar,1520,132,0,0,-1520,-132
151,07/04/2025,indykpol,228,30,0,0,-228,-30
152,08/04/2025,publimar,1300,80,0,0,-1300,-80
153,09/04/2025,publimar,1800,80,0,0,-1800,-80
154,09/04/2025,indykpol,35,33,0,0,-35,-33
155,10/04/2025,publimar,1580,160,0,0,-1580,-160
156,10/04/2025,indykpol,216,210,0,0,-216,-210
157,11/04/2025,publimar,1720,120,0,0,-1720,-120
158,11/04/2025,indykpol,214,33,0,0,-214,-33
159,11/04/2025,łuków,80,20,0,0,-80,-20
160,13/04/2025,publimar,1390,188,0,0,-1390,-188
161,14/04/2025,publimar,1420,150,0,0,-1420,-150
162,14/04/2025,indykpol,13,20,0,0,-13,-20
163,14/04/2025,łuków,190,20,0,0,-190,-20
164,15/04/2025,publimar,2070,240,0,0,-2070,-240
165,16/04/2025,publimar,1540,160,0,0,-1540,-160
166,16/04/2025,indykpol,307,40,15,0,-292,-40
167,16/04/2025,łuków,80,50,0,0,-80,-50
168,17/04/2025,publimar,1060,228,0,0,-1060,-228
169,18/04/2025,publimar,0,0,220,220,220,220